"","EXPERIMENT_ID","ESTIMATE","P","SAMPLE_SIZE","EFFECT_SIZE"
"1","5_2_1",-5.2168644812132,1,4,5
"2","5_2_2",-2.4994100794439,1,4,5
"3","5_2_3",-0.646854987199269,1,4,5
"4","5_2_4",-1.78091503423759,1,4,5
"5","5_2_5",0.304260043401933,1,4,5
"6","5_2_6",-1.81690674566772,1,4,5
"7","5_2_7",3.17927458732005,1,4,5
"8","5_2_8",0.107747800478531,1,4,5
"9","5_2_9",0.233959123188348,1,4,5
"10","5_2_10",2.41007340120221,1,4,5
"11","5_2_11",1.51567656419021,1,4,5
"12","5_2_12",1.07891457614184,1,4,5
"13","5_2_13",1.17560275107274,1,4,5
"14","5_2_14",-0.166285415341284,1,4,5
"15","5_2_15",0.493796881332769,1,4,5
"16","5_2_16",-35.474842276139,1,4,5
"17","5_2_17",0.370813200289616,1,4,5
"18","5_2_18",0.0720437208481805,1,4,5
"19","5_2_19",1.00133735202808,1,4,5
"20","5_2_20",-0.318190621682869,1,4,5
"21","5_2_21",0.467496296450964,1,4,5
"22","5_2_22",0.497032579425159,1,4,5
"23","5_2_23",0.503361780388564,1,4,5
"24","5_2_24",-0.955025964484947,1,4,5
"25","5_2_25",1.12713550769076,1,4,5
"26","5_2_26",0.172324078829189,1,4,5
"27","5_2_27",-1.39133804076073,1,4,5
"28","5_2_28",1.25296010996777,1,4,5
"29","5_2_29",1.28572881427114,1,4,5
"30","5_2_30",1.33392002252279,1,4,5
"31","5_2_31",0.456178592152816,1,4,5
"32","5_2_32",-0.682153100885832,1,4,5
"33","5_2_33",1.9071898637038,1,4,5
"34","5_2_34",1.66344466939995,1,4,5
"35","5_2_35",-0.45629594318789,1,4,5
"36","5_2_36",0.0843698553378378,1,4,5
"37","5_2_37",4.51105222685,1,4,5
"38","5_2_38",-2.02171124754724,1,4,5
"39","5_2_39",0.82534792320535,1,4,5
"40","5_2_40",2.66923176838645,1,4,5
"41","5_2_41",0.70612671065673,1,4,5
"42","5_2_42",0.577784045303474,1,4,5
"43","5_2_43",1.75979618138484,1,4,5
"44","5_2_44",0.503348290305668,1,4,5
"45","5_2_45",4.55699659532756,1,4,5
"46","5_2_46",2.0029535916538,1,4,5
"47","5_2_47",0.402543994039179,1,4,5
"48","5_2_48",1.03642278743778,1,4,5
"49","5_2_49",0.694499434687286,1,4,5
"50","5_2_50",3.11782313506201,1,4,5
"51","5_2_51",1.05928122901414,1,4,5
"52","5_2_52",4.58017494435982,1,4,5
"53","5_2_53",1.47669273441746,1,4,5
"54","5_2_54",-1.28417187179359,1,4,5
"55","5_2_55",3.32475676385881,1,4,5
"56","5_2_56",2.28314554671762,1,4,5
"57","5_2_57",2.61057957451269,1,4,5
"58","5_2_58",-0.45927575278293,1,4,5
"59","5_2_59",6.8167031315733,1,4,5
"60","5_2_60",1.09188704832996,1,4,5
"61","5_2_61",0.106815888978802,1,4,5
"62","5_2_62",-1.18326302353158,1,4,5
"63","5_2_63",-3.04874114199827,1,4,5
"64","5_2_64",0.0590478461366522,1,4,5
"65","5_2_65",0.89392418720107,1,4,5
"66","5_2_66",3.65915483230379,1,4,5
"67","5_2_67",2.33327978185616,1,4,5
"68","5_2_68",-0.721398956995841,1,4,5
"69","5_2_69",0.0159088145594883,1,4,5
"70","5_2_70",0.390468178415319,1,4,5
"71","5_2_71",1.01994404036729,1,4,5
"72","5_2_72",-1.016739297614,1,4,5
"73","5_2_73",-2.08353376907184,1,4,5
"74","5_2_74",-3.59550328364992,1,4,5
"75","5_2_75",-0.88756643474682,1,4,5
"76","5_2_76",-1.17732266362935,1,4,5
"77","5_2_77",-1.32468812753126,1,4,5
"78","5_2_78",-0.624621145307082,1,4,5
"79","5_2_79",4.20419926743196,1,4,5
"80","5_2_80",0.279071116491944,1,4,5
"81","5_2_81",1.61754025279248,1,4,5
"82","5_2_82",0.816485237530652,1,4,5
"83","5_2_83",-0.577097174216125,1,4,5
"84","5_2_84",-0.13159797250414,1,4,5
"85","5_2_85",0.938576604841825,1,4,5
"86","5_2_86",1.28162822231963,1,4,5
"87","5_2_87",1.99070217029037,1,4,5
"88","5_2_88",0.30518902437822,1,4,5
"89","5_2_89",1.60616224572072,1,4,5
"90","5_2_90",-0.288337842073843,1,4,5
"91","5_2_91",1.31464481587452,1,4,5
"92","5_2_92",-4.27080904972504,1,4,5
"93","5_2_93",2.23275163418774,1,4,5
"94","5_2_94",4.88450461743995,1,4,5
"95","5_2_95",0.110469835521887,1,4,5
"96","5_2_96",3.16193671653192,1,4,5
"97","5_2_97",-0.820981936839094,1,4,5
"98","5_2_98",1.22262309024469,1,4,5
"99","5_2_99",0.83732203938015,1,4,5
"100","5_2_100",-2.31063512299046,1,4,5
"101","5_2_101",0.109997753333918,1,4,5
"102","5_2_102",-0.28429849350571,1,4,5
"103","5_2_103",1.73138815075793,1,4,5
"104","5_2_104",3.04924552959024,1,4,5
"105","5_2_105",0.548463020266558,1,4,5
"106","5_2_106",-0.176825507001616,1,4,5
"107","5_2_107",-0.499550112691129,1,4,5
"108","5_2_108",0.703315695560622,1,4,5
"109","5_2_109",0.0228576928073851,1,4,5
"110","5_2_110",1.29121997559815,1,4,5
"111","5_2_111",0.43260681629129,1,4,5
"112","5_2_112",0.0934012241468514,1,4,5
"113","5_2_113",-1.72633454314776,1,4,5
"114","5_2_114",-1.32651256921394,1,4,5
"115","5_2_115",1.1896057524671,1,4,5
"116","5_2_116",3.05421090389994,1,4,5
"117","5_2_117",1.06196286013447,1,4,5
"118","5_2_118",-1.37904934839478,1,4,5
"119","5_2_119",11.8542592231923,1,4,5
"120","5_2_120",0.470091648707751,1,4,5
"121","5_2_121",0.282798825713455,1,4,5
"122","5_2_122",0.533284839916857,1,4,5
"123","5_2_123",-0.291804320254316,1,4,5
"124","5_2_124",0.390469527777595,1,4,5
"125","5_2_125",-1.65432629647048,1,4,5
"126","5_2_126",-2.86188102479542,1,4,5
"127","5_2_127",0.539707671994216,1,4,5
"128","5_2_128",2.38623581650641,1,4,5
"129","5_2_129",-1.32219525353478,1,4,5
"130","5_2_130",-0.0676129404487183,1,4,5
"131","5_2_131",0.565362901268139,1,4,5
"132","5_2_132",-0.717876088219424,1,4,5
"133","5_2_133",1.21523182358048,1,4,5
"134","5_2_134",0.522870616249255,1,4,5
"135","5_2_135",-0.746454537888774,1,4,5
"136","5_2_136",5.42112043031924,1,4,5
"137","5_2_137",0.338050634818784,1,4,5
"138","5_2_138",1.24090561058519,1,4,5
"139","5_2_139",0.0753353941379658,1,4,5
"140","5_2_140",0.268129646401522,1,4,5
"141","5_2_141",0.024942754902505,1,4,5
"142","5_2_142",-0.134980564053085,1,4,5
"143","5_2_143",1.72090696696821,1,4,5
"144","5_2_144",2.94924877943702,1,4,5
"145","5_2_145",0.31622695966127,1,4,5
"146","5_2_146",-2.8275741762757,1,4,5
"147","5_2_147",-1.64083427780839,1,4,5
"148","5_2_148",1.9001451915458,1,4,5
"149","5_2_149",1.23828654767503,1,4,5
"150","5_2_150",0.710018327079536,1,4,5
"151","5_2_151",1.11846777132144,1,4,5
"152","5_2_152",0.192339220422487,1,4,5
"153","5_2_153",0.355638786359748,1,4,5
"154","5_2_154",1.46083865305747,1,4,5
"155","5_2_155",2.83934441357231,1,4,5
"156","5_2_156",0.00829687745838085,1,4,5
"157","5_2_157",-0.707249989284242,1,4,5
"158","5_2_158",-0.182067012928267,1,4,5
"159","5_2_159",-2.96399523792399,1,4,5
"160","5_2_160",1.11454738106036,1,4,5
"161","5_2_161",0.537893988336792,1,4,5
"162","5_2_162",2.60568708941732,1,4,5
"163","5_2_163",2.22545085814611,1,4,5
"164","5_2_164",2.73109599375885,1,4,5
"165","5_2_165",0.59620896503487,1,4,5
"166","5_2_166",1.72441306880585,1,4,5
"167","5_2_167",1.37622848104569,1,4,5
"168","5_2_168",-0.440507425724129,1,4,5
"169","5_2_169",0.637884237761049,1,4,5
"170","5_2_170",1.355465561991,1,4,5
"171","5_2_171",-0.167265753611416,1,4,5
"172","5_2_172",0.553381810682216,1,4,5
"173","5_2_173",0.993548706502052,1,4,5
"174","5_2_174",15.8270296172551,1,4,5
"175","5_2_175",1.25322338534805,1,4,5
